CE NDVI NDRE GNDVI SAVI
11.71 0.867 0.503 0.785 0.782
15.7 0.822 0.338 0.786 0.66
16.74 0.831 0.331 0.782 0.636
17.38 0.831 0.331 0.771 0.721
16.32 0.879 0.519 0.794 0.75
16.86 0.877 0.519 0.795 0.759
17.68 0.821 0.281 0.744 0.657
18.98 0.773 0.281 0.744 0.606
19.12 0.785 0.303 0.768 0.615
19.66 0.823 0.303 0.768 0.676
11.05 0.86 0.504 0.786 0.747
11.23 0.86 0.504 0.786 0.788
11.2 0.86 0.504 0.786 0.762
17.7 0.831 0.346 0.777 0.649
17.84 0.831 0.346 0.792 0.67
19.64 0.834 0.346 0.792 0.682
16.68 0.834 0.346 0.792 0.658
15 0.881 0.517 0.795 0.795
17.16 0.792 0.294 0.798 0.623
19.08 0.792 0.305 0.772 0.655
16.38 0.792 0.305 0.781 0.67
19.9 0.799 0.305 0.752 0.634
11.36 0.879 0.509 0.79 0.743
12.02 0.874 0.505 0.789 0.795
11.49 0.874 0.505 0.789 0.8
18.54 0.844 0.326 0.777 0.727
15.18 0.844 0.326 0.77 0.599
17.26 0.844 0.326 0.77 0.625
17.02 0.882 0.512 0.789 0.752
18 0.882 0.512 0.787 0.768
17.59 0.888 0.512 0.791 0.808
17.6 0.882 0.512 0.793 0.806
18.76 0.802 0.309 0.762 0.61
16.22 0.802 0.309 0.762 0.732
18.48 0.789 0.294 0.762 0.582
18.72 0.789 0.294 0.726 0.656
13.25 0.871 0.515 0.796 0.756
13.07 0.871 0.515 0.791 0.769
12.93 0.871 0.513 0.791 0.798
13.08 0.871 0.513 0.791 0.81
19.58 0.831 0.334 0.778 0.72
14.48 0.831 0.325 0.784 0.665
18.7 0.83 0.337 0.784 0.704
13.6 0.882 0.512 0.788 0.776
13.7 0.89 0.514 0.791 0.771
13.65 0.892 0.513 0.796 0.805
17.64 0.821 0.318 0.761 0.655
16.74 0.838 0.334 0.761 0.705
19.02 0.798 0.322 0.766 0.648
11.41 0.877 0.515 0.786 0.779
11.36 0.877 0.495 0.779 0.76
11.4 0.877 0.512 0.795 0.799
11.27 0.877 0.51 0.795 0.789
16.32 0.834 0.318 0.789 0.65
15.06 0.834 0.326 0.789 0.654
21.04 0.834 0.336 0.789 0.708
15.92 0.886 0.532 0.799 0.788
16.13 0.876 0.492 0.799 0.766
16 0.876 0.507 0.799 0.765
16.1 0.802 0.318 0.772 0.647
18.94 0.823 0.33 0.772 0.664
17.34 0.812 0.319 0.771 0.646
22.72 0.812 0.335 0.771 0.692
11.64 0.861 0.524 0.768 0.788
11.65 0.861 0.521 0.768 0.795
11.58 0.861 0.477 0.768 0.764
11.42 0.861 0.504 0.768 0.756
18.42 0.838 0.338 0.795 0.673
19.96 0.838 0.334 0.795 0.686
22.52 0.838 0.327 0.795 0.685
11.9 0.863 0.524 0.804 0.794
13.47 0.863 0.542 0.804 0.804
12.1 0.863 0.539 0.806 0.767
11.73 0.861 0.53 0.799 0.785
11.7 0.861 0.526 0.795 0.805
11.69 0.861 0.485 0.776 0.772
11.55 0.861 0.523 0.776 0.773
19.8 0.832 0.319 0.782 0.655
17.52 0.832 0.313 0.782 0.677
21.1 0.832 0.318 0.782 0.652
12.58 0.88 0.526 0.791 0.776
12.5 0.876 0.522 0.791 0.791
12.63 0.871 0.51 0.791 0.791
12.71 0.884 0.505 0.79 0.792
16.9 0.817 0.32 0.776 0.655
19.16 0.817 0.31 0.773 0.683
18.68 0.811 0.314 0.77 0.654
18.3 0.809 0.32 0.769 0.652
11.61 0.88 0.516 0.769 0.784
11.35 0.88 0.508 0.769 0.784
