PROD NIR rededge red green NDVI NDRE GNDVI SAVI
6631.5 0.433 0.236 0.051 0.057 0.789 0.294 0.762 0.582
6499.07 0.527 0.268 0.054 0.084 0.789 0.294 0.726 0.656
5648.2 0.625 0.194 0.039 0.071 0.871 0.515 0.796 0.756
5571.4 0.66 0.211 0.043 0.077 0.871 0.515 0.791 0.769
5543.1 0.708 0.228 0.043 0.081 0.871 0.513 0.791 0.798
5588 0.737 0.233 0.045 0.083 0.871 0.513 0.791 0.81
6264.65 0.625 0.312 0.058 0.078 0.831 0.334 0.778 0.72
6526.97 0.535 0.272 0.053 0.065 0.831 0.325 0.784 0.665
4662.81 0.595 0.295 0.055 0.085 0.83 0.337 0.784 0.704
4385.16 0.565 0.292 0.06 0.075 0.83 0.319 0.784 0.674
7258.5 0.667 0.216 0.042 0.079 0.882 0.512 0.788 0.776
7147.1 0.712 0.227 0.042 0.08 0.888 0.517 0.798 0.801
7152.4 0.716 0.23 0.041 0.081 0.892 0.513 0.796 0.805
5396.2 0.614 0.312 0.055 0.075 0.835 0.326 0.761 0.717
5411.41 0.517 0.268 0.051 0.063 0.821 0.318 0.761 0.655
4641.32 0.587 0.293 0.052 0.08 0.838 0.334 0.761 0.705
2957.69 0.531 0.272 0.06 0.07 0.798 0.322 0.766 0.648
3821.8 0.681 0.218 0.045 0.082 0.877 0.515 0.786 0.779
3731.2 0.722 0.233 0.046 0.083 0.877 0.512 0.795 0.799
3765.6 0.69 0.224 0.042 0.079 0.877 0.51 0.795 0.789
7600.61 0.536 0.278 0.061 0.07 0.834 0.318 0.789 0.65
7058.9 0.598 0.297 0.054 0.07 0.834 0.336 0.789 0.708
9634.2 0.688 0.21 0.042 0.077 0.886 0.532 0.799 0.788
10067.2 0.672 0.229 0.049 0.084 0.876 0.492 0.799 0.766
9944.6 0.653 0.213 0.043 0.077 0.876 0.507 0.799 0.765
7138.94 0.525 0.272 0.058 0.067 0.802 0.318 0.772 0.647
6621.15 0.532 0.268 0.052 0.065 0.823 0.33 0.772 0.664
5711.15 0.513 0.265 0.053 0.066 0.812 0.319 0.771 0.646
4325.7 0.693 0.216 0.043 0.077 0.861 0.524 0.768 0.788
4467.8 0.694 0.219 0.04 0.079 0.861 0.521 0.768 0.795
4467.3 0.672 0.238 0.05 0.088 0.861 0.477 0.768 0.764
4368 0.628 0.207 0.04 0.073 0.861 0.504 0.768 0.756
5625.05 0.566 0.287 0.056 0.071 0.838 0.327 0.795 0.682
6097.65 0.572 0.29 0.057 0.072 0.838 0.327 0.795 0.685
5853.5 0.704 0.22 0.044 0.082 0.863 0.524 0.804 0.794
5762.4 0.716 0.213 0.042 0.078 0.863 0.542 0.804 0.804
5871.8 0.69 0.23 0.051 0.085 0.863 0.499 0.804 0.773
5871.5 0.65 0.195 0.041 0.07 0.863 0.539 0.806 0.767
5323.62 0.533 0.271 0.053 0.066 0.833 0.325 0.779 0.662
5637.71 0.537 0.27 0.049 0.064 0.833 0.331 0.779 0.674
5152.82 0.534 0.277 0.054 0.075 0.83 0.316 0.753 0.661
4674.7 0.688 0.211 0.043 0.077 0.861 0.53 0.799 0.785
4605.2 0.722 0.224 0.043 0.082 0.861 0.526 0.795 0.805
4669.6 0.655 0.205 0.04 0.072 0.861 0.523 0.776 0.773
6211.27 0.533 0.275 0.057 0.069 0.832 0.319 0.782 0.655
6085.68 0.544 0.285 0.05 0.067 0.832 0.313 0.782 0.677
6615.22 0.519 0.268 0.053 0.066 0.832 0.318 0.782 0.652
6698 0.709 0.223 0.047 0.083 0.876 0.522 0.791 0.791
6755.8 0.716 0.232 0.049 0.085 0.871 0.51 0.791 0.791
3685.32 0.526 0.275 0.055 0.068 0.811 0.314 0.77 0.654
4962.31 0.526 0.271 0.056 0.069 0.809 0.32 0.769 0.652
4826.8 0.698 0.22 0.044 0.083 0.88 0.521 0.769 0.784
4894 0.69 0.22 0.045 0.08 0.88 0.516 0.769 0.784
4835.3 0.714 0.233 0.047 0.084 0.88 0.508 0.769 0.784
4820.1 0.677 0.218 0.041 0.077 0.88 0.513 0.769 0.782
