DC	NIR	rededge	red	green	NDVI	NDRE	GNDVI	SAVI
1.07	0.694	0.218	0.044	0.078	0.860	0.504	0.786	0.788
1.19	0.646	0.213	0.043	0.077	0.860	0.504	0.786	0.762
1.13	0.671	0.231	0.050	0.084	0.860	0.488	0.778	0.762
1.81	0.517	0.276	0.053	0.065	0.831	0.346	0.777	0.649
1.69	0.533	0.279	0.049	0.064	0.831	0.346	0.792	0.670
1.91	0.550	0.267	0.050	0.064	0.834	0.346	0.792	0.682
1.86	0.543	0.287	0.059	0.081	0.834	0.346	0.792	0.658
1.72	0.596	0.196	0.037	0.071	0.882	0.517	0.788	0.739
1.66	0.656	0.220	0.046	0.078	0.882	0.517	0.795	0.762
1.69	0.710	0.226	0.045	0.081	0.881	0.517	0.795	0.795
1.63	0.744	0.235	0.045	0.084	0.885	0.520	0.798	0.813
2.11	0.494	0.269	0.057	0.066	0.792	0.294	0.798	0.623
1.71	0.520	0.277	0.052	0.067	0.792	0.305	0.772	0.655
1.85	0.533	0.270	0.050	0.065	0.792	0.305	0.781	0.670
1.97	0.506	0.266	0.057	0.072	0.799	0.305	0.752	0.634
0.93	0.607	0.198	0.039	0.071	0.879	0.509	0.790	0.743
0.90	0.653	0.215	0.044	0.077	0.874	0.505	0.789	0.763
0.90	0.704	0.226	0.043	0.080	0.874	0.505	0.789	0.795
0.91	0.718	0.230	0.045	0.081	0.874	0.505	0.789	0.800
1.69	0.421	0.223	0.048	0.053	0.844	0.326	0.777	0.577
1.77	0.622	0.316	0.053	0.084	0.844	0.326	0.777	0.727
1.78	0.444	0.239	0.048	0.058	0.844	0.326	0.770	0.599
1.90	0.494	0.259	0.056	0.085	0.844	0.326	0.770	0.625
2.09	0.619	0.202	0.039	0.073	0.882	0.512	0.789	0.752
2.10	0.665	0.218	0.045	0.079	0.882	0.512	0.787	0.768
2.08	0.728	0.235	0.043	0.085	0.888	0.512	0.791	0.808
2.01	0.732	0.236	0.046	0.084	0.882	0.512	0.793	0.806
1.50	0.464	0.245	0.051	0.060	0.802	0.309	0.762	0.610
1.73	0.641	0.329	0.057	0.087	0.802	0.309	0.762	0.732
1.59	0.433	0.236	0.051	0.057	0.789	0.294	0.762	0.582
1.60	0.527	0.268	0.054	0.084	0.789	0.294	0.726	0.656
1.70	0.625	0.194	0.039	0.071	0.871	0.515	0.796	0.756
1.75	0.660	0.211	0.043	0.077	0.871	0.515	0.791	0.769
1.66	0.708	0.228	0.043	0.081	0.871	0.513	0.791	0.798
1.74	0.737	0.233	0.045	0.083	0.871	0.513	0.791	0.810
1.81	0.625	0.312	0.058	0.078	0.831	0.334	0.778	0.720
2.13	0.535	0.272	0.053	0.065	0.831	0.325	0.784	0.665
1.94	0.595	0.295	0.055	0.085	0.830	0.337	0.784	0.704
2.04	0.565	0.292	0.060	0.075	0.830	0.319	0.784	0.674
1.37	0.667	0.216	0.042	0.079	0.882	0.512	0.788	0.776
1.37	0.645	0.207	0.038	0.075	0.890	0.514	0.791	0.771
1.34	0.712	0.227	0.042	0.080	0.888	0.517	0.798	0.801
1.36	0.716	0.230	0.041	0.081	0.892	0.513	0.796	0.805
1.97	0.614	0.312	0.055	0.075	0.835	0.326	0.761	0.717
2.02	0.517	0.268	0.051	0.063	0.821	0.318	0.761	0.655
1.62	0.587	0.293	0.052	0.080	0.838	0.334	0.761	0.705
2.07	0.531	0.272	0.060	0.070	0.798	0.322	0.766	0.648
