AP NIR rededge red green NDVI NDRE GNDVI SAVI
2.03 0.619 0.202 0.039 0.073 0.882 0.512 0.789 0.752
1.95 0.665 0.218 0.045 0.079 0.882 0.512 0.787 0.768
2.02 0.728 0.235 0.043 0.085 0.888 0.512 0.791 0.808
1.98 0.732 0.236 0.046 0.084 0.882 0.512 0.793 0.806
1.85 0.464 0.245 0.051 0.06 0.802 0.309 0.762 0.61
1.85 0.641 0.329 0.057 0.087 0.802 0.309 0.762 0.732
1.9 0.433 0.236 0.051 0.057 0.789 0.294 0.762 0.582
1.79 0.737 0.233 0.045 0.083 0.871 0.513 0.791 0.81
2.74 0.625 0.312 0.058 0.078 0.831 0.334 0.778 0.72
2.45 0.535 0.272 0.053 0.065 0.831 0.325 0.784 0.665
2.52 0.565 0.292 0.06 0.075 0.83 0.319 0.784 0.674
1.75 0.667 0.216 0.042 0.079 0.882 0.512 0.788 0.776
1.7 0.645 0.207 0.038 0.075 0.89 0.514 0.791 0.771
1.7 0.716 0.23 0.041 0.081 0.892 0.513 0.796 0.805
2.58 0.614 0.312 0.055 0.075 0.835 0.326 0.761 0.717
2.47 0.517 0.268 0.051 0.063 0.821 0.318 0.761 0.655
1.65 0.681 0.218 0.045 0.082 0.877 0.515 0.786 0.779
1.64 0.635 0.214 0.04 0.079 0.877 0.495 0.779 0.76
1.53 0.69 0.224 0.042 0.079 0.877 0.51 0.795 0.789
2.5 0.536 0.269 0.053 0.067 0.834 0.332 0.789 0.665
2.39 0.523 0.266 0.054 0.066 0.834 0.326 0.789 0.654
2.3 0.693 0.215 0.043 0.078 0.883 0.527 0.797 0.789
2.2 0.688 0.21 0.042 0.077 0.886 0.532 0.799 0.788
2.36 0.672 0.229 0.049 0.084 0.876 0.492 0.799 0.766
2.29 0.653 0.213 0.043 0.077 0.876 0.507 0.799 0.765
2.41 0.525 0.272 0.058 0.067 0.802 0.318 0.772 0.647
2.4 0.571 0.284 0.052 0.068 0.812 0.335 0.771 0.692
1.56 0.693 0.216 0.043 0.077 0.861 0.524 0.768 0.788
1.55 0.694 0.219 0.04 0.079 0.861 0.521 0.768 0.795
1.62 0.672 0.238 0.05 0.088 0.861 0.477 0.768 0.764
1.52 0.628 0.207 0.04 0.073 0.861 0.504 0.768 0.756
2.71 0.566 0.287 0.056 0.071 0.838 0.327 0.795 0.682
2.42 0.53 0.262 0.047 0.06 0.838 0.338 0.795 0.673
2.42 0.567 0.283 0.054 0.081 0.838 0.334 0.795 0.686
2.53 0.572 0.29 0.057 0.072 0.838 0.327 0.795 0.685
1.62 0.704 0.22 0.044 0.082 0.863 0.524 0.804 0.794
1.62 0.716 0.213 0.042 0.078 0.863 0.542 0.804 0.804
1.62 0.69 0.23 0.051 0.085 0.863 0.499 0.804 0.773
1.62 0.65 0.195 0.041 0.07 0.863 0.539 0.806 0.767
2.49 0.533 0.271 0.053 0.066 0.833 0.325 0.779 0.662
2.37 0.537 0.27 0.049 0.064 0.833 0.331 0.779 0.674
2.25 0.534 0.277 0.054 0.075 0.83 0.316 0.753 0.661
2.47 0.546 0.268 0.051 0.066 0.83 0.341 0.753 0.677
1.77 0.688 0.211 0.043 0.077 0.861 0.53 0.799 0.785
1.8 0.722 0.224 0.043 0.082 0.861 0.526 0.795 0.805
1.79 0.655 0.205 0.04 0.072 0.861 0.523 0.776 0.773
2.3 0.533 0.275 0.057 0.069 0.832 0.319 0.782 0.655
2.36 0.544 0.285 0.05 0.067 0.832 0.313 0.782 0.677
2.19 0.519 0.268 0.053 0.066 0.832 0.318 0.782 0.652
2.1 0.579 0.298 0.059 0.075 0.832 0.321 0.782 0.685
1.81 0.67 0.208 0.043 0.081 0.88 0.526 0.791 0.776
1.8 0.709 0.223 0.047 0.083 0.876 0.522 0.791 0.791
1.73 0.716 0.232 0.049 0.085 0.871 0.51 0.791 0.791
1.8 0.699 0.23 0.043 0.082 0.884 0.505 0.79 0.792
2.42 0.521 0.268 0.052 0.066 0.817 0.32 0.776 0.655
2.55 0.56 0.295 0.053 0.072 0.817 0.31 0.773 0.683
2.42 0.526 0.275 0.055 0.068 0.811 0.314 0.77 0.654
2.4 0.526 0.271 0.056 0.069 0.809 0.32 0.769 0.652
1.58 0.698 0.22 0.044 0.083 0.88 0.521 0.769 0.784
1.54 0.69 0.22 0.045 0.08 0.88 0.516 0.769 0.784
1.62 0.714 0.233 0.047 0.084 0.88 0.508 0.769 0.784
