NGF NIR rededge red green NDVI NDRE GNDVI SAVI
18 0.645 0.207 0.038 0.075 0.89 0.514 0.791 0.771
20 0.712 0.227 0.042 0.08 0.888 0.517 0.798 0.801
17 0.716 0.23 0.041 0.081 0.892 0.513 0.796 0.805
31.8 0.614 0.312 0.055 0.075 0.835 0.326 0.761 0.717
31.8 0.531 0.272 0.06 0.07 0.798 0.322 0.766 0.648
13 0.635 0.214 0.04 0.079 0.877 0.495 0.779 0.76
10 0.722 0.233 0.046 0.083 0.877 0.512 0.795 0.799
11 0.69 0.224 0.042 0.079 0.877 0.51 0.795 0.789
30 0.536 0.278 0.061 0.07 0.834 0.318 0.789 0.65
40.2 0.536 0.269 0.053 0.067 0.834 0.332 0.789 0.665
29.4 0.523 0.266 0.054 0.066 0.834 0.326 0.789 0.654
36.8 0.598 0.297 0.054 0.07 0.834 0.336 0.789 0.708
32 0.688 0.21 0.042 0.077 0.886 0.532 0.799 0.788
29 0.653 0.213 0.043 0.077 0.876 0.507 0.799 0.765
27.25 0.525 0.272 0.058 0.067 0.802 0.318 0.772 0.647
36 0.571 0.284 0.052 0.068 0.812 0.335 0.771 0.692
12 0.693 0.216 0.043 0.077 0.861 0.524 0.768 0.788
15 0.694 0.219 0.04 0.079 0.861 0.521 0.768 0.795
13 0.672 0.238 0.05 0.088 0.861 0.477 0.768 0.764
16 0.628 0.207 0.04 0.073 0.861 0.504 0.768 0.756
30.8 0.566 0.287 0.056 0.071 0.838 0.327 0.795 0.682
36.8 0.53 0.262 0.047 0.06 0.838 0.338 0.795 0.673
31.4 0.567 0.283 0.054 0.081 0.838 0.334 0.795 0.686
38 0.572 0.29 0.057 0.072 0.838 0.327 0.795 0.685
18 0.716 0.213 0.042 0.078 0.863 0.542 0.804 0.804
19 0.69 0.23 0.051 0.085 0.863 0.499 0.804 0.773
26 0.533 0.271 0.053 0.066 0.833 0.325 0.779 0.662
28.6 0.537 0.27 0.049 0.064 0.833 0.331 0.779 0.674
23.8 0.534 0.277 0.054 0.075 0.83 0.316 0.753 0.661
33.8 0.546 0.268 0.051 0.066 0.83 0.341 0.753 0.677
16 0.688 0.211 0.043 0.077 0.861 0.53 0.799 0.785
14 0.722 0.224 0.043 0.082 0.861 0.526 0.795 0.805
13 0.691 0.239 0.052 0.087 0.861 0.485 0.776 0.772
15 0.655 0.205 0.04 0.072 0.861 0.523 0.776 0.773
35.4 0.533 0.275 0.057 0.069 0.832 0.319 0.782 0.655
31.2 0.544 0.285 0.05 0.067 0.832 0.313 0.782 0.677
32.8 0.519 0.268 0.053 0.066 0.832 0.318 0.782 0.652
32.6 0.579 0.298 0.059 0.075 0.832 0.321 0.782 0.685
21 0.67 0.208 0.043 0.081 0.88 0.526 0.791 0.776
20 0.709 0.223 0.047 0.083 0.876 0.522 0.791 0.791
22 0.716 0.232 0.049 0.085 0.871 0.51 0.791 0.791
25 0.699 0.23 0.043 0.082 0.884 0.505 0.79 0.792
29 0.521 0.268 0.052 0.066 0.817 0.32 0.776 0.655
29.8 0.526 0.275 0.055 0.068 0.811 0.314 0.77 0.654
33.6 0.526 0.271 0.056 0.069 0.809 0.32 0.769 0.652
11 0.698 0.22 0.044 0.083 0.88 0.521 0.769 0.784
16 0.69 0.22 0.045 0.08 0.88 0.516 0.769 0.784
15 0.714 0.233 0.047 0.084 0.88 0.508 0.769 0.784
11 0.677 0.218 0.041 0.077 0.88 0.513 0.769 0.782
