CE NIR rededge red green NDVI NDRE GNDVI SAVI
12.93 0.708 0.228 0.043 0.081 0.871 0.513 0.791 0.798
13.08 0.737 0.233 0.045 0.083 0.871 0.513 0.791 0.81
19.58 0.625 0.312 0.058 0.078 0.831 0.334 0.778 0.72
14.48 0.535 0.272 0.053 0.065 0.831 0.325 0.784 0.665
18.7 0.595 0.295 0.055 0.085 0.83 0.337 0.784 0.704
19.56 0.565 0.292 0.06 0.075 0.83 0.319 0.784 0.674
13.6 0.667 0.216 0.042 0.079 0.882 0.512 0.788 0.776
13.7 0.645 0.207 0.038 0.075 0.89 0.514 0.791 0.771
14.01 0.712 0.227 0.042 0.08 0.888 0.517 0.798 0.801
17.96 0.614 0.312 0.055 0.075 0.835 0.326 0.761 0.717
16.74 0.587 0.293 0.052 0.08 0.838 0.334 0.761 0.705
19.02 0.531 0.272 0.06 0.07 0.798 0.322 0.766 0.648
11.36 0.635 0.214 0.04 0.079 0.877 0.495 0.779 0.76
11.4 0.722 0.233 0.046 0.083 0.877 0.512 0.795 0.799
11.27 0.69 0.224 0.042 0.079 0.877 0.51 0.795 0.789
16.32 0.536 0.278 0.061 0.07 0.834 0.318 0.789 0.65
15.06 0.523 0.266 0.054 0.066 0.834 0.326 0.789 0.654
16.04 0.693 0.215 0.043 0.078 0.883 0.527 0.797 0.789
15.92 0.688 0.21 0.042 0.077 0.886 0.532 0.799 0.788
16.13 0.672 0.229 0.049 0.084 0.876 0.492 0.799 0.766
16 0.653 0.213 0.043 0.077 0.876 0.507 0.799 0.765
16.1 0.525 0.272 0.058 0.067 0.802 0.318 0.772 0.647
18.94 0.532 0.268 0.052 0.065 0.823 0.33 0.772 0.664
22.72 0.571 0.284 0.052 0.068 0.812 0.335 0.771 0.692
11.58 0.672 0.238 0.05 0.088 0.861 0.477 0.768 0.764
19.02 0.566 0.287 0.056 0.071 0.838 0.327 0.795 0.682
18.42 0.53 0.262 0.047 0.06 0.838 0.338 0.795 0.673
19.96 0.567 0.283 0.054 0.081 0.838 0.334 0.795 0.686
22.52 0.572 0.29 0.057 0.072 0.838 0.327 0.795 0.685
11.9 0.704 0.22 0.044 0.082 0.863 0.524 0.804 0.794
13.47 0.716 0.213 0.042 0.078 0.863 0.542 0.804 0.804
19 0.533 0.271 0.053 0.066 0.833 0.325 0.779 0.662
17.54 0.537 0.27 0.049 0.064 0.833 0.331 0.779 0.674
16.98 0.534 0.277 0.054 0.075 0.83 0.316 0.753 0.661
23.78 0.546 0.268 0.051 0.066 0.83 0.341 0.753 0.677
11.73 0.688 0.211 0.043 0.077 0.861 0.53 0.799 0.785
11.7 0.722 0.224 0.043 0.082 0.861 0.526 0.795 0.805
11.69 0.691 0.239 0.052 0.087 0.861 0.485 0.776 0.772
11.55 0.655 0.205 0.04 0.072 0.861 0.523 0.776 0.773
21.1 0.519 0.268 0.053 0.066 0.832 0.318 0.782 0.652
19.94 0.579 0.298 0.059 0.075 0.832 0.321 0.782 0.685
12.58 0.67 0.208 0.043 0.081 0.88 0.526 0.791 0.776
12.5 0.709 0.223 0.047 0.083 0.876 0.522 0.791 0.791
12.63 0.716 0.232 0.049 0.085 0.871 0.51 0.791 0.791
12.71 0.699 0.23 0.043 0.082 0.884 0.505 0.79 0.792
16.9 0.521 0.268 0.052 0.066 0.817 0.32 0.776 0.655
19.16 0.56 0.295 0.053 0.072 0.817 0.31 0.773 0.683
18.68 0.526 0.275 0.055 0.068 0.811 0.314 0.77 0.654
11.66 0.698 0.22 0.044 0.083 0.88 0.521 0.769 0.784
11.61 0.69 0.22 0.045 0.08 0.88 0.516 0.769 0.784
11.35 0.714 0.233 0.047 0.084 0.88 0.508 0.769 0.784
11.39 0.677 0.218 0.041 0.077 0.88 0.513 0.769 0.782
